index,Isolate,AMIKACIN,AMOXICILLIN,AMOXICILLIN_CLAVULANATE,CAPREOMYCIN,CIPROFLOXACIN,CLARITHROMYCIN,CLOFAZIMINE,CYCLOSERINE,ETHAMBUTOL,ETHIONAMIDE,GATIFLOXACIN,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,MOXIFLOXACIN,NICOTINAMIDE,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PROTHIONAMIDE,PYRAZINAMIDE,RIFABUTIN,RIFAMPICIN,STREPTOMYCIN,category,ETHIOMIDE,IMIPENEM,LINEZOLID,OXIFLOXACIN,PARA_AMINOSALICYLIC_ACID,run,run_combined,bioproject,biosample,internal,path,Isolate_original,accessions
101,02R1589,S,,,S,,,,,R,S,,R,S,S,S,,S,S,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1589/pilon/02R1589.vcf,02R1589,SAMN05916293
102,02R1641,R,,,S,,,,,R,R,,R,R,R,R,,R,S,,S,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1641/pilon/02R1641.vcf,02R1641,SAMN05916448
103,02R1645,S,,,S,,,,,R,R,,R,S,S,S,,S,S,,S,S,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1645/pilon/02R1645.vcf,02R1645,SAMN05916402
104,02R1681,S,,,,,,,,R,R,,R,S,R,,,R,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1681/pilon/02R1681.vcf,02R1681,ERS2401087
105,02R1683,S,,,S,,,,,S,R,,R,S,S,S,,S,R,,S,S,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1683/pilon/02R1683.vcf,02R1683,SAMN05916269
106,02R1685,S,,,S,,,,,R,R,,R,S,S,,,S,S,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1685/pilon/02R1685.vcf,02R1685,ERS2401236
107,02R1687,S,,,S,,,,,R,S,,R,S,R,,,R,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1687/pilon/02R1687.vcf,02R1687,ERS2401248
108,02R1709,S,,,,,S,,,R,,,R,S,R,,,R,S,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1709/pilon/02R1709.vcf,02R1709,ERS2401308
109,02R1723,,,,R,,,,,R,S,,R,S,,,,S,S,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1723/pilon/02R1723.vcf,02R1723,ERS2401336
110,02R1726,,,,R,,,,,R,R,,R,R,,,,,,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1726/pilon/02R1726.vcf,02R1726,ERS2401129
111,02R1728,S,,,S,,,,,R,R,,R,S,R,,,R,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1728/pilon/02R1728.vcf,02R1728,ERS2401360
112,02R1742,S,,,S,,S,,,R,R,,R,S,S,R,,R,,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1742/pilon/02R1742.vcf,02R1742,SAMN05916400
113,02R1753,,,,S,,,,,R,S,,R,R,,,,S,S,,S,,S,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1753/pilon/02R1753.vcf,02R1753,ERS2401380
114,02R1789,R,,,R,,R,,,R,R,,R,R,R,,,R,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1789/pilon/02R1789.vcf,02R1789,ERS2401326
115,02R1793,R,,,R,,,,,R,R,,R,R,S,,,S,R,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1793/pilon/02R1793.vcf,02R1793,ERS2401302
116,02R1825,R,,,R,,S,,,R,R,R,R,R,S,R,,S,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1825/pilon/02R1825.vcf,02R1825,SAMN05916284
118,02R1871,S,,,R,,,,,R,R,,R,R,S,,,R,S,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1871/pilon/02R1871.vcf,02R1871,ERS2401301
119,02R1915,,,,S,,,,,S,S,,R,R,,,,S,R,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1915/pilon/02R1915.vcf,02R1915,ERS2401130
120,02R1940,S,,,R,,,,,R,R,,R,S,S,,,S,R,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1940/pilon/02R1940.vcf,02R1940,ERS2401210
121,02R1941,S,,,R,,,,,R,S,,R,S,R,,,R,R,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1941/pilon/02R1941.vcf,02R1941,ERS2401416
122,02R1942,R,,,R,,S,,,R,R,,R,R,S,,,,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1942/pilon/02R1942.vcf,02R1942,ERS2401356
123,02R1945,S,,,S,,,,,R,S,,R,S,S,S,,,,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1945/pilon/02R1945.vcf,02R1945,SAMN05915272
124,02R1952,,,,R,,,,,R,R,,R,R,,,,R,S,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1952/pilon/02R1952.vcf,02R1952,ERS2401344
128,03R0058,S,,,S,,,,,R,R,,R,R,S,,,S,S,,R,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/03R0058/pilon/03R0058.vcf,03R0058,ERS2401322
129,03R0068,,,,R,,,,,S,S,,R,S,,,,S,S,,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/03R0068/pilon/03R0068.vcf,03R0068,ERS2401267
130,03R0070,,,,R,,,,,R,R,,R,R,,,,S,R,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/03R0070/pilon/03R0070.vcf,03R0070,ERS2401170
